word,tag
better,O
than,O
ibm,B-OTHOBJ
,
is,O
skiing,B-ASPOBJ
easier,B-ASP
than,O
swimming,B-OTHOBJ
,
is,O
pizza,B-ASPOBJ
better,O
than,O
sandwich,B-OTHOBJ
,
what,O
is,O
better,O
bmw,B-ASPOBJ
or,O
honda,B-OTHOBJ
,
what,O
is,O
better,O
facebook,B-ASPOBJ
or,O
youtube,B-OTHOBJ
,
what,O
is,O
better,O
google,B-ASPOBJ
or,O
sony,B-OTHOBJ
,
bread,B-ASPOBJ
vs,O
soup,B-OTHOBJ
,
is,O
java,B-ASPOBJ
better,O
than,O
scala,B-OTHOBJ
,
is,O
football,B-ASPOBJ
better,O
than,O
tennis,B-OTHOBJ
,
what,O
is,O
better,O
baseball,B-ASPOBJ
or,O
golf,B-OTHOBJ
,
what,O
is,O
better,O
java,B-ASPOBJ
or,O
ruby,B-OTHOBJ
,
what,O
is,O
better,O
basketball,B-ASPOBJ
or,O
football,B-OTHOBJ
,
is,O
bmw,B-ASPOBJ
better,O
than,O
ford,B-OTHOBJ
,
what,O
is,O
better,O
chalk,B-ASPOBJ
or,O
paint,B-OTHOBJ
,
concrete,B-ASPOBJ
vs,O
steel,B-OTHOBJ
,
is,O
lumber,B-ASPOBJ
better,O
than,O
plywood,B-OTHOBJ
,
advil,B-ASPOBJ
vs,O
ibuprofen,B-OTHOBJ
,
is,O
advil,B-ASPOBJ
better,O
than,O
motrin,B-OTHOBJ
,
is,O
dell,B-ASPOBJ
better,O
than,O
ibm,B-OTHOBJ
,
what,O
is,O
better,O
amazon,B-ASPOBJ
or,O
apple,B-OTHOBJ
,
is,O
bash,B-ASPOBJ
better,O
than,O
python,B-OTHOBJ
,
what,O
is,O
better,O
milk,B-ASPOBJ
or,O
soda,B-OTHOBJ
,
hockey,B-ASPOBJ
vs,O
tennis,B-OTHOBJ
,
is,O
audi,B-ASPOBJ
worse,B-ASP
than,O
lexus,B-OTHOBJ
,
what,O
is,O
better,O
microsoft,B-ASPOBJ
or,O
sony,B-OTHOBJ
,
what,O
is,O
better,O
nokia,B-ASPOBJ
or,O
samsung,B-OTHOBJ
,
what,O
is,O
better,O
birthday,B-ASPOBJ
or,O
wedding,B-OTHOBJ
,
california,B-ASPOBJ
vs,O
carolina,B-OTHOBJ
,
is,O
beer,B-ASPOBJ
easier,B-ASP
than,O
tea,B-OTHOBJ
,
carolina,B-ASPOBJ
vs,O
pennsylvania,B-OTHOBJ
,
is,O
buick,B-ASPOBJ
worse,B-ASP
than,O
cadillac,B-OTHOBJ
,
what,O
is,O
better,O
amazon,B-ASPOBJ
or,O
hulu,B-OTHOBJ
,
ds,B-ASPOBJ
vs,O
ps2,B-OTHOBJ
,
what,O
is,O
wiser,B-ASP
mouse,B-ASPOBJ
or,O
rat,B-OTHOBJ
,
what,O
is,O
better,O
javascript,B-ASPOBJ
or,O
python,B-OTHOBJ
,
what,O
is,O
wiser,B-ASP
cement,B-ASPOBJ
or,O
concrete,B-OTHOBJ
,
is,O
football,B-ASPOBJ
better,O
than,O
golf,B-OTHOBJ
,
what,O
is,O
better,O
lumber,B-ASPOBJ
or,O
timber,B-OTHOBJ
,
samsung,B-ASPOBJ
vs,O
toshiba,B-OTHOBJ
,
what,O
is,O
better,O
ferrari,B-ASPOBJ
or,O
renault,B-OTHOBJ
,
juice,B-ASPOBJ
vs,O
soda,B-OTHOBJ
,
what,O
is,O
better,O
google,B-ASPOBJ
or,O
intel,B-OTHOBJ
,
concrete,B-ASPOBJ
vs,O
stone,B-OTHOBJ
,
what,O
is,O
slower,B-ASP
concrete,B-ASPOBJ
or,O
timber,B-OTHOBJ
,
is,O
mysql,B-ASPOBJ
better,O
than,O
oracle,B-OTHOBJ
,
cadillac,B-ASPOBJ
vs,O
lexus,B-OTHOBJ
,
what,O
is,O
harder,B-ASP
bus,B-ASPOBJ
or,O
truck,B-OTHOBJ
,
javascript,B-ASPOBJ
vs,O
perl,B-OTHOBJ
,
pennsylvania,B-ASPOBJ
vs,O
virginia,B-OTHOBJ
,
is,O
jeep,B-ASPOBJ
better,O
than,O
suv,B-OTHOBJ
,
is,O
google,B-ASPOBJ
faster,B-ASP
than,O
microsoft,B-OTHOBJ
,
is,O
cnn,B-ASPOBJ
faster,B-ASP
than,O
fox,B-OTHOBJ
,
is,O
java,B-ASPOBJ
harder,B-ASP
than,O
smalltalk,B-OTHOBJ
,
playstation,B-ASPOBJ
vs,O
wii,B-OTHOBJ
,
what,O
is,O
faster,B-ASP
ds,B-ASPOBJ
or,O
wii,B-OTHOBJ
,
what,O
is,O
better,O
windows 8,B-ASPOBJ
or,O
windows xp,B-OTHOBJ
,
what,O
is,O
better,O
kennedy,B-ASPOBJ
or,O
nixon,B-OTHOBJ
,
is,O
juice,B-ASPOBJ
faster,B-ASP
than,O
milk,B-OTHOBJ
,
is,O
chrysler,B-ASPOBJ
easier,B-ASP
than,O
toyota,B-OTHOBJ
,
pasta,B-ASPOBJ
vs,O
soup,B-OTHOBJ
,
is,O
gamecube,B-ASPOBJ
faster,B-ASP
than,O
playstation,B-OTHOBJ
,
what,O
is,O
slower,B-ASP
iphone,B-ASPOBJ
or,O
laptop,B-OTHOBJ
,
